entity	file	value	xpath	attributes	attribute_values
manuscripts	1045.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1045.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1045.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1046.xml	1000-1100	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1046.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1046.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1046.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1047.xml	1000-1200?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1047.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1047.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1047.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1048.xml	1000-1200?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1048.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1048.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1048.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1049.xml	1000-1100	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1049.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1049.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1049.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	105.xml	1580	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	105.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	105.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	105.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1050.xml	1000-1200?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1050.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1050.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1050.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1051.xml	1200-1300	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1051.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1051.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1051.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1052.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1052.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1052.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1052.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1053.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1053.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1053.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1053.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1054.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
