ms_id	file	locus_xpath	locus_xpath_readable	part	action	changed	from_before	to_before	text_before	other_attrs_before	from_after	to_after	text_after	other_attrs_after	element_before	element_after	note
1455	data/manuscripts/tei/1455.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1456	data/manuscripts/tei/1456.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1457	data/manuscripts/tei/1457.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1458	data/manuscripts/tei/1458.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1459	data/manuscripts/tei/1459.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
146	data/manuscripts/tei/146.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1460	data/manuscripts/tei/1460.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1461	data/manuscripts/tei/1461.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1462	data/manuscripts/tei/1462.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1464	data/manuscripts/tei/1464.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1465	data/manuscripts/tei/1465.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	no_change	no	1r	183v	1r–183v		1r	183v	1r–183v		"<locus from=""1r"" to=""183v"">1r–183v</locus>"	"<locus from=""1r"" to=""183v"">1r–183v</locus>"	text already matches @from/@to
